time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451900000	6.94037	20.1387	4.95581	3.56611	0.47079	lidar	1.02644	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71687	20.046	4.94924	3.58267	0.459241	radar	0.405116	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46959	19.9566	4.97067	3.59505	0.44675	lidar	0.568557	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25323	19.8621	4.96105	3.61276	0.443138	radar	2.71255	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99419	19.7705	4.99522	3.62005	0.425509	lidar	1.24234	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77463	19.6227	5.01499	3.66271	0.464185	radar	2.23121	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58228	19.5028	4.98853	3.68733	0.466685	lidar	0.896298	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38257	19.3526	4.98595	3.72187	0.483004	radar	1.69389	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16311	19.2529	4.98426	3.72965	0.464952	lidar	1.87525	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96446	19.141	4.95637	3.73658	0.435877	radar	4.4605	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79021	18.9902	4.93143	3.7679	0.447454	lidar	0.594398	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58574	18.8399	4.94602	3.79511	0.460064	radar	1.50125	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
